x1i10hfl href,x168nmei src,x193iq5w,x1lliihq,x1lliihq (2),x1lliihq (3),x193iq5w (2)
https://www.facebook.com/marketplace/item/711127074677726/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/495070918_24270712072530407_4798983788276435111_n.jpg?stp=c0.169.1536.1536a_cp6_dst-jpg_s261x260_tt6&_nc_cat=102&ccb=1-7&_nc_sid=946e27&_nc_ohc=QoBPhKb3rJ8Q7kNvwFZstX9&_nc_oc=Adn2KvFdUmnFpTJNqiOWFC0QuVzbLa8xfq1VetWVoCtN1uBJkTcS04hH0EdHFAyGk0k&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=8UFeay8K-0HRu6pesa1ggQ&oh=00_AfIapbhPbGSOhglmzgn9iAtEceFjmB1l4wXLnssBPXBNSw&oe=682C9AA0,"CA$2,400",2012 Smart fortwo,"Innisfil, ON",120K km,
https://www.facebook.com/marketplace/item/1389179678714861/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/480332974_9647910115228513_8590924834526932383_n.jpg?stp=c302.0.1444.1444a_dst-jpg_s261x260_tt6&_nc_cat=103&ccb=1-7&_nc_sid=454cf4&_nc_ohc=0WVwuaakrJAQ7kNvwEApqMu&_nc_oc=AdlHIWdFb1JGtkJwec3DdASwdMjEqG_WggSq7ijBmUwMvhrpqAtEcSU8yQ9gw9HK--g&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=8UFeay8K-0HRu6pesa1ggQ&oh=00_AfJxbwRpTRXEgHcVxYNYjJ4vSGyiNlysQHBHiMGLXwwmeg&oe=682C7293,CA$285,2022 Toyota corolla hatchback,"Stratford, ON",71K km,
https://www.facebook.com/marketplace/item/1297917745230582/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/496084946_3086460158172731_9055183632704220098_n.jpg?stp=dst-jpg_s261x260_tt6&_nc_cat=103&ccb=1-7&_nc_sid=454cf4&_nc_ohc=2zix4b0fvnAQ7kNvwGUdHdF&_nc_oc=AdnQd_inMSkTYCrvUW_zjyrOsOZdGGptF91Ycj0FuJfQqG2TUd-p8n2oEMQUAuiYZvs&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=8UFeay8K-0HRu6pesa1ggQ&oh=00_AfLdrWA-NgxnBOv5JCzSxFqcCdwvElUmf1lGsXgfIQ034g&oe=682C8622,"CA$19,598",2020 Tesla model 3,"Vaughan, ON",148K km,
https://www.facebook.com/marketplace/item/3596267590679258/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/495364209_10165308627529832_3153833562333301855_n.jpg?stp=c0.169.1536.1536a_dst-jpg_s261x260_tt6&_nc_cat=103&ccb=1-7&_nc_sid=454cf4&_nc_ohc=UosIRcVpavMQ7kNvwFy2lXQ&_nc_oc=Adm78ZILcO0BBG9_r81E4yNLWMn9rZyypovUJ15aMbVtgAinv_lViF4mfNtOJrgV5QM&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=8UFeay8K-0HRu6pesa1ggQ&oh=00_AfJCvsi-mP6vmXWWW0pZiK3KKeGIqu_o9GTnWw80tAUm9w&oe=682C84E5,"CA$5,000",2007 Toyota camry,"Milton, ON",290K km,
https://www.facebook.com/marketplace/item/1723892158162678/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/491959038_638352389361098_8386178264256652861_n.jpg?stp=dst-jpg_s261x260_tt6&_nc_cat=106&ccb=1-7&_nc_sid=454cf4&_nc_ohc=aWx4Btvvb_kQ7kNvwFYE2BP&_nc_oc=AdkoDWFHKK1xegq2JkrH_JQ1XXSFvkVFuo8fVqrCnGZNkAuoWXNVu96OM79K11PxCsU&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=8UFeay8K-0HRu6pesa1ggQ&oh=00_AfJw0jN0ddL_GT6-eaH6J3tEhGYAZsAGFx6JW8C1U7Aomw&oe=682C79BE,"CA$6,850",2004 Mazda rx-8,"Orillia, ON",125K km,
https://www.facebook.com/marketplace/item/9676225179099188/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/497449986_2969387749888824_81142793618054913_n.jpg?stp=c256.0.1536.1536a_dst-jpg_s261x260_tt6&_nc_cat=110&ccb=1-7&_nc_sid=454cf4&_nc_ohc=bKXBSmxVuvcQ7kNvwFisD6W&_nc_oc=Adl_ySWQbn2X2fasRqvfxIwx4ibkhTbS0pEIUtkWM__lOUo1DS6jj2lerLsBG4IkiMk&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=8UFeay8K-0HRu6pesa1ggQ&oh=00_AfJwAQuKIIpg90PLXaCjklHWhZugMmU1qrRdJ_0fYUplZQ&oe=682C7FE6,"CA$4,990",2015 Hyundai accent,"Toronto, ON",179K km,
https://www.facebook.com/marketplace/item/701044959577737/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t45.5328-4/496507946_2568508306823233_3584031696908829018_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=111&ccb=1-7&_nc_sid=247b10&_nc_ohc=8hXOhrV4TpwQ7kNvwEHkWIW&_nc_oc=AdmJK8SiO_4I9QurRem5TNmXd-cpoNCsGE0W2-hxqf5iIhgp_3f-tGpswByEC-HO2u8&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=8UFeay8K-0HRu6pesa1ggQ&oh=00_AfKBpu0WhdrKHb7ZmzoqIaB90rUNKtU1wdhgE49sImbIWg&oe=682C940C,"CA$6,850",2001 Honda civic,"Toronto, ON",57K km,
https://www.facebook.com/marketplace/item/1224774992705903/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/489295365_1900540187353258_5796561289831781555_n.jpg?stp=c0.169.1536.1536a_dst-jpg_s261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=946e27&_nc_ohc=FEN3BYSVwt0Q7kNvwFeGF8J&_nc_oc=AdkIwnRmZVzGfw8xHwR5cxQvIa30BP5nJGNPBCSKc_j1hkHEjR_99XCNzWNqBkrGAZA&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=8UFeay8K-0HRu6pesa1ggQ&oh=00_AfJeK5ETbVF5khPs-c4cPAKKM4s4mxPHMGB94_GNOTH_rQ&oe=682CA9FD,"CA$4,499",2011 Toyota corolla,"Oshawa, ON",357K km,
https://www.facebook.com/marketplace/item/1210644747271260/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/497513662_682036418088062_162936847254216422_n.jpg?stp=dst-jpg_s261x260_tt6&_nc_cat=100&ccb=1-7&_nc_sid=454cf4&_nc_ohc=yQuqipUrUboQ7kNvwEQ9Upv&_nc_oc=AdkfaqufmTuTq852AlO_7Yraz6suIMZ3YtI-X0KvffjWjm_H6Rdr-qHsDhEefz3bGEM&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=8UFeay8K-0HRu6pesa1ggQ&oh=00_AfK6VKJOc-7uAYD-G2xviLjUIwDPJYdgCzlIXwB2pbNL3w&oe=682CA71A,"CA$1,950",2010 Kia soul,"Milton, ON",230K km,"CA$2,300"
https://www.facebook.com/marketplace/item/1012962664226640/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/491433865_3621899677955039_3140675565883227982_n.jpg?stp=dst-jpg_s261x260_tt6&_nc_cat=104&ccb=1-7&_nc_sid=454cf4&_nc_ohc=Ekw-yzJ2mJoQ7kNvwHEMw1b&_nc_oc=AdlHYh2q8lQuBgq3EMKyoKbxBOkeTOTrzh3vNLruOucZLLmsJVOuzULBFnN34BBTdwg&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=8UFeay8K-0HRu6pesa1ggQ&oh=00_AfJcZH2aKmwr7JbMy41Iv77ti2SVPiI6Vd0oSxKEHr8URA&oe=682CA144,"CA$8,300",2016 Honda civic,"Barrie, ON",384K km,
https://www.facebook.com/marketplace/item/1967660327379355/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/496952290_122131063244748018_237044171402385165_n.jpg?stp=dst-jpg_s261x260_tt6&_nc_cat=110&ccb=1-7&_nc_sid=454cf4&_nc_ohc=POtZ2NivANgQ7kNvwELve8x&_nc_oc=AdnfFuWB50toe9nV9asKsVD99uWus4ystA_TMmD892UhjYuVnWJBfXPFWAH-jEPyMJg&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=8UFeay8K-0HRu6pesa1ggQ&oh=00_AfKJcQZoNsC4QLF9zTvZyzkk44-e01XPLuAAaiw8MDh3SA&oe=682C86F4,CA$187,2020 Audi s5,"Vaughan, ON",70K km,
https://www.facebook.com/marketplace/item/4120215241637990/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t45.5328-4/491729445_1375324320174617_2122406808229105950_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=106&ccb=1-7&_nc_sid=247b10&_nc_ohc=o0MSt8I9gLEQ7kNvwFXDsfO&_nc_oc=Adm8ue84_n5fg772itKJciJLStN0btxeajcF6uUIQz2hBq2tMT9XmqOqC6wrEz27Fx0&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=8UFeay8K-0HRu6pesa1ggQ&oh=00_AfIIxqTz1JdqyuZOS05Pjf3-DxfYPMVOiM78H1AJetu_nw&oe=682C9987,"CA$6,999",2011 Toyota matrix s awd,"Hamilton, ON",212K km,
https://www.facebook.com/marketplace/item/651858344318666/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/495279385_10162426471625783_9123775583638107895_n.jpg?stp=c192.0.1152.1152a_dst-jpg_s261x260_tt6&_nc_cat=108&ccb=1-7&_nc_sid=454cf4&_nc_ohc=s3WcloAxL6QQ7kNvwFNkMql&_nc_oc=AdkUP35h25C2Nhfaxv_HRHDh1exW8WoJy5go5b26-EN8MtiknDjfWMsMJtWJZCpN34g&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=8UFeay8K-0HRu6pesa1ggQ&oh=00_AfIC885_OZPcO8wjop0xKfQRjD5R5eukvdqULPi1WJhhEw&oe=682C9AFE,"CA$1,000",2011 Ford focus,"Norfolk, ON",234K km,"CA$1,500"
https://www.facebook.com/marketplace/item/1059941516183867/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/495131859_633880616350652_7452772069457321885_n.jpg?stp=c0.416.1080.1080a_dst-jpg_s261x260_tt6&_nc_cat=103&ccb=1-7&_nc_sid=454cf4&_nc_ohc=anYKwgTx2BUQ7kNvwEnsLd1&_nc_oc=AdmepTBwIKMFl5U4rcptreEvcZJYBBr6KGffSGzpQ1cWRwOahMcuRWZ0KLVHB8jPtcs&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=8UFeay8K-0HRu6pesa1ggQ&oh=00_AfL4PvCCGG5mDUbXGO4FngIXkq2NLs2gMRdNB5V6hTUECQ&oe=682CA9CF,"CA$1,999",2012 Volkswagen jetta,"London, ON",28K km,"CA$3,700"
https://www.facebook.com/marketplace/item/1251641422560570/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/477558476_3000632070112643_2823901763213370337_n.jpg?stp=dst-jpg_s261x260_tt6&_nc_cat=107&ccb=1-7&_nc_sid=454cf4&_nc_ohc=bRS8pWEgYHkQ7kNvwEMyADj&_nc_oc=AdkY93AHmcwhV8K4vBXrut65bicZwZfYroIgg6zgliAEvkClk8CjEFt9NPfS9_qXcbw&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=8UFeay8K-0HRu6pesa1ggQ&oh=00_AfLtNhk62I0Rlr3sVz99xgdLS_ydljviDedrLpvH2zDlNw&oe=682C7CA3,"CA$1,234",2014 Volkswagen jetta,"Oshawa, ON",220K km,
https://www.facebook.com/marketplace/item/1428213381685662/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/494680958_2434927233548077_2502677525115043849_n.jpg?stp=c0.169.1537.1537a_dst-jpg_s261x260_tt6&_nc_cat=104&ccb=1-7&_nc_sid=946e27&_nc_ohc=Lq7vM8cKbLwQ7kNvwENtHOf&_nc_oc=Adl_NbQw4HV0u7KKzhVMj0k8ZQDbN2cQuf1johQBlPDgWXHeSWHPt1bEmdWQRbmYg1M&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=7n9-B9Sd59KQdurqpzy2vA&oh=00_AfLXfFUdfkgB9so-dJVUZAws3tZolf6fBcciCN7cfYI42A&oe=682C9F1B,"CA$2,200",2006 Ford fusion,"Brampton, ON",225K km,"CA$2,500"
https://www.facebook.com/marketplace/item/585289720684585/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/498014036_2969589573201975_98867477102261139_n.jpg?stp=c256.0.1537.1537a_dst-jpg_s261x260_tt6&_nc_cat=104&ccb=1-7&_nc_sid=454cf4&_nc_ohc=ccoCZcONAJ4Q7kNvwFYdE37&_nc_oc=Adl1JgbxstaVdcFPK-l9fIHwKGPSwuRQWDzGJhteG9w7_G_CKsxkoX0tBevo9BP3zlg&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=7n9-B9Sd59KQdurqpzy2vA&oh=00_AfKoiw-aXX2mHjqvLHEQllX2DBgHOEB1DgT98k2zoaTPDg&oe=682C946F,"CA$2,990",2011 Land Rover lr2,"Toronto, ON",240K km,
https://www.facebook.com/marketplace/item/604680782586529/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/495038320_10162504504346797_2580496680381054623_n.jpg?stp=dst-jpg_s261x260_tt6&_nc_cat=103&ccb=1-7&_nc_sid=454cf4&_nc_ohc=U8N90gz9ECYQ7kNvwFxWgbd&_nc_oc=AdlENYBS3gteVn2rZvkbgwc-8Ei7f44zyJw5-M2pzfunVo3lUD-MiUVjaBj6L0cod54&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=7n9-B9Sd59KQdurqpzy2vA&oh=00_AfIVJ4iC6HhGdSo8EL5wVthi2DArJzh4e0lLdTuR4IY2yA&oe=682C953D,"CA$2,500",2014 Mitsubishi lancer,"Barrie, ON",180K km,
https://www.facebook.com/marketplace/item/1911249272747043/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/497462549_1299783758259104_7822447531660286780_n.jpg?stp=dst-jpg_s261x260_tt6&_nc_cat=100&ccb=1-7&_nc_sid=454cf4&_nc_ohc=B7CYbJpIteAQ7kNvwHQoef8&_nc_oc=Admoem9xUiOaLi8E6SRUjoUuEXO8aJQJRECpWacXDi6gquKeL0KA86deEGZXMDl-Xco&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=7n9-B9Sd59KQdurqpzy2vA&oh=00_AfKKTanBXgeFAFYhAtFens8qnl1kSLpdjbiv6gegWBWPGQ&oe=682C8C22,"CA$3,750",2006 Audi a6,"Brampton, ON",170K km,
https://www.facebook.com/marketplace/item/635397222830076/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/495213355_10171482000210484_1763925427995117347_n.jpg?stp=c0.169.1537.1537a_dst-jpg_s261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=454cf4&_nc_ohc=MGsiVBrKclwQ7kNvwFkqTT2&_nc_oc=AdkkgWN35R13-Fxb7u3LjLgOgaL9-UYWaDpaqyiycKU0rHooXe-dnOvUzb0ZaoTuM9k&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=7n9-B9Sd59KQdurqpzy2vA&oh=00_AfKA6LIiMpsi1caiNBXtHUA8y1dAuTNi9xiqD0fGD82GZA&oe=682C7A14,"CA$3,500",2013 Hyundai elantra,"Guelph, ON",205K km,
https://www.facebook.com/marketplace/item/710026708266250/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/493584262_1907822309958379_4754076689026879913_n.jpg?stp=c0.169.1536.1536a_dst-jpg_s261x260_tt6&_nc_cat=101&ccb=1-7&_nc_sid=946e27&_nc_ohc=Nkof7bXjNaEQ7kNvwGUspBW&_nc_oc=AdkDppe_txIaOTlFwLO28E3xpFbs3L4f2SlZLfr3KOCI_9DHgnCBUFjTRCiqoD3vMwk&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=7n9-B9Sd59KQdurqpzy2vA&oh=00_AfIHnQfbbkRU_fRO6GP-8HoHgl_rbHGYJLo5sI_GHeA4rg&oe=682C8809,"CA$3,999",2014 Hyundai elantra,"Oshawa, ON",253K km,
https://www.facebook.com/marketplace/item/548636741256109/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t45.5328-4/467417852_1641686683170436_6172023367935168844_n.jpg?stp=c101.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=108&ccb=1-7&_nc_sid=247b10&_nc_ohc=D9w-6RtNqBcQ7kNvwHJOpdk&_nc_oc=AdmcCgJrLk6POwtFrK3qsdLMaQPPQXrwfOEiJ_jLZ3QGvtQDXsM1X_EnTUHJDBTdQPk&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=7n9-B9Sd59KQdurqpzy2vA&oh=00_AfIvqkgOdVcDVVLHoHiMdWPNmEPhtbdUpuULErB1ucOV5g&oe=682C980F,CA$990,2008 Mazda 5 gs,"Halton Hills, ON",272K km,
https://www.facebook.com/marketplace/item/1377687506707964/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/495540335_10235250661917021_6728066668958487257_n.jpg?stp=dst-jpg_s261x260_tt6&_nc_cat=104&ccb=1-7&_nc_sid=454cf4&_nc_ohc=18YQE90Eqw0Q7kNvwHIVWdB&_nc_oc=AdnBbJAc91To2I17SOR583RgryS7eV8DK8sEufXMEqUsVXC5a2FP1nsT5y0fql1qJ9M&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=7n9-B9Sd59KQdurqpzy2vA&oh=00_AfKy7Bp1chtFzHVqHSnhHGbK3PI_yS0Z3lVfPtyy_tf3bg&oe=682C9619,"CA$6,100",2008 Toyota corolla,"Toronto, ON",240K km,
https://www.facebook.com/marketplace/item/1007933441554899/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t45.5328-4/494545685_2515549198792521_423336590087124628_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=107&ccb=1-7&_nc_sid=247b10&_nc_ohc=rvwXTCpYICsQ7kNvwERJoRo&_nc_oc=Adk1TEbWZLw9nry3_emLKvPTRLkFh7tXNNXBDjc_oJmp0KylxNEFmVP8_6WV8-i1zMg&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=7n9-B9Sd59KQdurqpzy2vA&oh=00_AfL42ON3LSOchDYVypVDZ8XOhQ6j7vczivGS2S9NcBI_8Q&oe=682C8CD6,"CA$12,988",2020 Hyundai elantra preferred ivt,"Toronto, ON",179K km,
https://www.facebook.com/marketplace/item/696647116643747/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/497757906_122131046534765978_5040352105638559833_n.jpg?stp=c256.0.1536.1536a_dst-jpg_s261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=454cf4&_nc_ohc=nWCi4YiBOeQQ7kNvwFqVohm&_nc_oc=Admb7t705FGNdQKXSGHxt0EvADwJnO3WKinKVjad79uzqD19O8MTPhBo017V-edrqFU&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=7n9-B9Sd59KQdurqpzy2vA&oh=00_AfL5eJ_Bt4_yoBjzd3kAR6powxj-0Ai-OF9NRxjZ9IYInQ&oe=682C8AEC,"CA$9,500",2015 Honda accord,"Toronto, ON",221K km,
https://www.facebook.com/marketplace/item/1885249782210183/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t45.5328-4/491763056_1205023814612868_8609860948745617257_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=108&ccb=1-7&_nc_sid=247b10&_nc_ohc=FnPLCPBAwhEQ7kNvwHr4SaA&_nc_oc=AdmxJ8TPAQwxFFm8IQPMykVovJFXufEr6IxPovTfWRwXyXlxBVAitMJaOKm0o7PH-mY&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=7n9-B9Sd59KQdurqpzy2vA&oh=00_AfIHii7awIBmvYdU4e5gCoqac6RENcn8XdgLjpBmf-EEhQ&oe=682CAA13,"CA$3,999",2011 Volkswagen golf,"Toronto, ON",169K km,
https://www.facebook.com/marketplace/item/1014874534176014/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/495959564_2495372967462386_8437429215887366899_n.jpg?stp=dst-jpg_s261x260_tt6&_nc_cat=106&ccb=1-7&_nc_sid=454cf4&_nc_ohc=m9qHzPwWWJUQ7kNvwGqfWwg&_nc_oc=AdkKTyz1VhAwZufMCwFqJPaEOl_YL4-sdGd3sSzvaeAeXstuFHyPa0UlmM7nVE-hgmM&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=7n9-B9Sd59KQdurqpzy2vA&oh=00_AfKkc8IbwMnJxA80SEtRdQom0XFOcMbd0lB92_CWnViN-w&oe=682C86AB,"CA$8,000",2008 Mitsubishi eclipse,"Welland, ON",150K km,
https://www.facebook.com/marketplace/item/1743849403012015/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/494480496_10223863533730821_545182707366467316_n.jpg?stp=dst-jpg_s261x260_tt6&_nc_cat=101&ccb=1-7&_nc_sid=454cf4&_nc_ohc=OYcRFbcfwYEQ7kNvwG0YVnl&_nc_oc=AdmdVxx93FRgjfrgY4mu2KGMxAxOJlC2kYc_xyH71Qqo59zYZJNOaZbJc_R28ZVYJlI&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=7n9-B9Sd59KQdurqpzy2vA&oh=00_AfKK6-pRhyblonH4MlffeYpk2Xt-FeqZcA8dfvT1Hd5KSg&oe=682C94A1,"CA$2,000",1993 Toyota celica,"Orillia, ON",200K km,
https://www.facebook.com/marketplace/item/1339906083750634/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/496952166_689402477369415_1890047462922457343_n.jpg?stp=c0.295.1153.1153a_dst-jpg_s261x260_tt6&_nc_cat=103&ccb=1-7&_nc_sid=454cf4&_nc_ohc=rayQsDnfO24Q7kNvwFhcPcb&_nc_oc=Adk66oWrEq0_7MzDLSzkA4qr32_1CHloKhXFf3QTjcCWG1cIGwvDDWHCLxJ_vA7_c9Y&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=7n9-B9Sd59KQdurqpzy2vA&oh=00_AfLZ9ZqBK80QMfK5A3RFgXl6CBWr2ECG4Q-aZj24xfzfxA&oe=682C76EB,"CA$2,700",2007 Volkswagen passat,"New Tecumseth, ON",185K km,"CA$3,800"
